word,count
said,462
alice,404
little,129
one,106
gutenberg,98
project,89
know,88
like,85
would,83
went,83
could,78
queen,76
thought,74
time,71
see,70
well,63
king,63
turtle,60
way,58
began,58
mock,57
hatter,56
quite,55
gryphon,55
must,54
work,53
think,53
rabbit,53
much,52
say,51
first,51
head,50
go,50
thing,49
voice,48
never,48
come,47
get,46
1,46
oh,45
looked,45
got,45
mouse,44
duchess,42
round,41
two,40
tone,40
dormouse,40
came,40
great,39
back,39
cat,37
right,36
without,34
nothing,34
march,34
long,34
found,34
works,33
things,33
last,33
large,33
use,32
tell,32
looking,32
put,31
moment,31
hare,31
white,30
next,30
make,30
made,30
heard,30
door,30
replied,29
look,29
eyes,29
e,29
dear,29
day,29
caterpillar,29
upon,28
three,28
might,28
may,28
away,28
shall,27
seemed,27
poor,27
good,27
going,27
electronic,27
course,27
yet,25
soon,25
rather,25
foundation,25
took,24
sure,24
chapter,24
