word,count
raskolnikov,785
one,646
would,575
know,530
said,519
could,497
man,481
come,480
like,455
though,445
sonia,402
see,386
time,385
go,368
went,356
razumihin,347
even,340
well,335
dounia,325
thought,306
ivanovna,304
must,303
say,297
something,293
suddenly,293
looked,293
little,290
petrovitch,287
day,286
room,285
nothing,285
yes,283
last,280
good,279
still,270
away,266
began,266
way,259
face,250
eyes,246
two,244
came,242
cried,241
tell,239
first,232
made,232
without,228
door,227
right,222
mother,219
almost,217
katerina,216
looking,215
old,210
may,209
perhaps,209
get,207
think,207
svidrigaïlov,207
porfiry,206
let,205
moment,203
woman,203
make,203
another,199
shall,196
us,195
take,194
back,191
look,191
head,191
put,188
asked,187
quite,186
seemed,185
want,185
going,185
much,183
long,182
understand,179
stood,175
turned,175
pyotr,173
people,172
felt,172
money,169
course,169
everything,168
never,167
took,167
hand,167
believe,165
great,164
might,164
oh,158
heard,158
saw,154
mind,152
got,151
hands,150
