word,count
one,208
could,198
would,184
yet,152
man,137
father,134
upon,128
life,116
may,114
every,109
first,108
might,108
shall,107
eyes,104
said,102
gutenberg,98
time,98
even,96
towards,94
saw,94
night,93
elizabeth,92
project,89
found,89
ever,85
mind,85
day,82
heart,81
felt,80
death,79
work,78
feelings,76
must,74
thought,74
dear,72
soon,71
friend,71
many,70
made,70
never,69
also,68
still,68
passed,67
thus,66
place,65
miserable,65
like,63
heard,62
became,61
us,61
sometimes,60
love,59
clerval,59
country,58
little,58
human,58
appeared,57
often,56
indeed,56
justine,55
misery,54
words,54
friends,54
away,53
see,53
nature,53
although,53
several,52
return,52
old,52
1,51
among,51
days,51
hope,51
cottage,51
feel,50
cannot,50
whose,50
great,50
know,50
felix,50
well,49
long,49
happiness,49
despair,49
chapter,48
world,47
another,47
voice,46
happy,46
sun,45
much,45
years,45
poor,45
alone,45
horror,45
men,44
creature,44
scene,44
part,43
