word,count
gatsby,268
said,235
tom,191
daisy,186
one,154
like,122
man,114
back,109
came,108
little,103
know,100
gutenberg,99
house,95
project,91
went,91
eyes,89
old,86
come,85
looked,85
got,85
mr,84
see,84
time,83
away,78
way,77
wilson,77
get,75
new,73
two,73
night,73
jordan,73
car,73
go,71
room,71
well,70
going,70
around,70
moment,70
something,68
door,68
people,66
think,65
never,64
turned,64
us,64
made,63
long,63
hand,63
could,62
want,59
voice,58
first,56
work,56
face,55
right,54
knew,54
would,53
saw,52
look,52
began,50
even,49
thought,48
took,48
girl,48
white,47
toward,47
half,47
sport,47
1,46
told,45
young,45
last,45
day,45
heard,44
men,43
name,43
asked,43
oh,43
must,42
afternoon,42
light,42
left,41
years,40
west,40
baker,40
head,40
hour,40
suddenly,40
seemed,39
much,39
say,38
found,38
three,38
miss,38
let,38
hands,38
thing,36
small,36
next,36
another,36
