word,count
gregor,298
would,187
room,131
could,120
father,102
sister,101
gutenberg,100
project,91
mother,89
door,87
back,82
even,82
one,75
work,75
way,64
time,59
said,51
little,49
without,47
1,46
get,44
still,44
first,44
see,42
made,40
go,40
much,39
like,38
head,38
chief,37
clerk,37
away,35
open,35
samsa,34
come,33
works,33
thought,32
well,32
went,32
family,32
left,32
soon,31
came,31
quite,30
let,30
though,30
bed,29
looked,29
everything,29
something,28
must,28
day,28
wanted,28
things,27
two,27
electronic,27
seemed,26
make,26
parents,26
copyright,25
round,25
three,25
grete,25
foundation,25
use,24
gentlemen,24
body,24
already,24
terms,23
able,23
used,23
right,23
long,23
really,23
mr,23
e,23
morning,22
look,22
slowly,22
side,22
floor,22
hand,22
onto,21
got,21
states,20
almost,20
legs,20
never,20
better,20
enough,20
think,20
set,20
full,20
flat,20
around,20
lay,19
although,19
table,19
turned,19
window,19
